Size, No. of Comparisons
30, 108
35, 141
40, 168
45, 197
50, 225
55, 246
60, 279
65, 314
70, 343
75, 369
80, 413
85, 439
90, 472
95, 513
100, 548
105, 571
110, 608
115, 644
120, 686
125, 728
130, 755
135, 796
140, 826
145, 867
150, 909
155, 929
160, 977
165, 1013
170, 1048
175, 1075
180, 1117
185, 1162
190, 1210
195, 1252
200, 1280
205, 1314
210, 1357
215, 1399
220, 1436
225, 1483
230, 1523
235, 1564
240, 1603
245, 1658
250, 1680
255, 1717
260, 1761
265, 1804
270, 1848
275, 1870
280, 1937
285, 1962
290, 2008
295, 2055
300, 2104
305, 2131
310, 2173
315, 2226
320, 2287
325, 2305
330, 2358
335, 2403
340, 2449
345, 2488
350, 2535
355, 2570
360, 2614
365, 2640
370, 2701
375, 2730
380, 2773
385, 2820
390, 2880
395, 2918
400, 2930
405, 2965
410, 3048
415, 3122
420, 3150
425, 3203
430, 3242
435, 3293
440, 3302
445, 3378
450, 3395
455, 3443
460, 3507
465, 3547
470, 3595
475, 3653
480, 3665
485, 3741
490, 3771
495, 3807
500, 3846
505, 3892
510, 3959
515, 3985
520, 4041
525, 4075
