Size, No. of Comparisons
30, 77
31, 79
32, 80
33, 86
34, 91
35, 96
36, 100
37, 105
38, 109
39, 113
40, 116
41, 121
42, 125
43, 129
44, 132
45, 136
46, 139
47, 142
48, 144
49, 149
50, 153
51, 157
52, 160
53, 164
54, 167
55, 170
56, 172
57, 176
58, 179
59, 182
60, 184
61, 187
62, 189
63, 191
64, 192
65, 199
66, 205
67, 211
68, 216
69, 222
70, 227
71, 232
72, 236
73, 242
74, 247
75, 252
76, 256
77, 261
78, 265
79, 269
80, 272
81, 278
82, 283
83, 288
84, 292
85, 297
86, 301
87, 305
88, 308
89, 313
90, 317
91, 321
92, 324
93, 328
94, 331
95, 334
96, 336
97, 342
98, 347
99, 352
100, 356
101, 361
102, 365
103, 369
104, 372
105, 377
106, 381
107, 385
108, 388
109, 392
110, 395
111, 398
112, 400
113, 405
114, 409
115, 413
116, 416
117, 420
118, 423
119, 426
120, 428
121, 432
122, 435
123, 438
124, 440
125, 443
126, 445
127, 447
128, 448
129, 456
