Size, No. of Comparisons
30, 71
31, 75
32, 80
33, 81
34, 83
35, 85
36, 88
37, 90
38, 93
39, 96
40, 100
41, 102
42, 105
43, 108
44, 112
45, 115
46, 119
47, 123
48, 128
49, 130
50, 133
51, 136
52, 140
53, 143
54, 147
55, 151
56, 156
57, 159
58, 163
59, 167
60, 172
61, 176
62, 181
63, 186
64, 192
65, 193
66, 195
67, 197
68, 200
69, 202
70, 205
71, 208
72, 212
73, 214
74, 217
75, 220
76, 224
77, 227
78, 231
79, 235
80, 240
81, 242
82, 245
83, 248
84, 252
85, 255
86, 259
87, 263
88, 268
89, 271
90, 275
91, 279
92, 284
93, 288
94, 293
95, 298
96, 304
97, 306
98, 309
99, 312
100, 316
101, 319
102, 323
103, 327
104, 332
105, 335
106, 339
107, 343
108, 348
109, 352
110, 357
111, 362
112, 368
113, 371
114, 375
115, 379
116, 384
117, 388
118, 393
119, 398
120, 404
121, 408
122, 413
123, 418
124, 424
125, 429
126, 435
127, 441
128, 448
129, 449
